Region;Atlas
Country;Morocco
#;2
Spring Name/Station Name;Ras El Ma (Taza)
Literature;"Akdim (2015); Naoura et al. (2021)"
Lat;34.15
Lon;-4.04
Elev (m);960
Recharge Area (km2);
Start Date;1.03.1989
End Date;28.08.2020
Resolution;Monthly
Data Source;Brahim Akdim
Data License;Open data
Contact For License;Brahim Akdim
Spring ID;ATL_02_MA
Date;Discharge m^3/s
16.10.2001;0.05635
7.11.2001;0.05635
28.11.2001;0.05635
19.12.2001;0.11527
9.01.2002;0.16906
31.01.2002;0.16906
21.02.2002;0.15857
14.03.2002;0.10246
4.04.2002;0.20649
26.04.2002;0.27664
17.05.2002;0.32435
7.06.2002;0.30632
28.06.2002;0.18882
20.07.2002;0.15881
10.08.2002;0.1127
31.08.2002;0.07684
21.09.2002;0.07684
13.10.2002;0.12661
3.11.2002;0.15369
24.11.2002;0.19066
15.12.2002;0.33299
6.01.2003;0.41496
27.01.2003;0.36513
17.02.2003;0.33811
10.03.2003;0.36373
1.04.2003;0.38422
22.04.2003;0.34836
13.05.2003;0.34324
3.06.2003;0.27152
25.06.2003;0.22834
16.07.2003;0.15369
6.08.2003;0.11783
27.08.2003;0.1127
18.09.2003;0.09221
9.10.2003;0.07172
30.10.2003;0.04952
21.11.2003;0.13021
12.12.2003;0.27152
2.01.2004;0.36461
23.01.2004;0.39016
14.02.2004;0.27502
6.03.2004;0.23053
27.03.2004;0.22086
17.04.2004;0.2636
9.05.2004;0.28103
30.05.2004;0.27664
20.06.2004;0.23566
11.07.2004;0.21516
2.08.2004;0.19467
23.08.2004;0.18955
13.09.2004;0.17418
4.10.2004;0.15369
26.10.2004;0.13832
16.11.2004;0.1332
7.12.2004;0.15369
28.12.2004;0.16393
19.01.2005;0.18955
9.02.2005;0.16778
2.03.2005;0.15369
23.03.2005;0.19126
14.04.2005;0.22325
5.05.2005;0.20911
26.05.2005;0.15369
16.06.2005;0.12124
8.07.2005;0.09221
29.07.2005;0.08197
19.08.2005;0.08197
9.09.2005;0.07172
1.10.2005;0.05635
22.10.2005;0.05123
12.11.2005;0.05635
3.12.2005;0.1793
25.12.2005;0.18916
15.01.2006;0.18349
5.02.2006;0.15881
27.02.2006;0.27664
20.03.2006;0.31634
10.04.2006;0.34153
1.05.2006;0.29713
23.05.2006;0.29201
13.06.2006;0.28176
4.07.2006;0.24078
25.07.2006;0.13832
16.08.2006;0.08709
6.09.2006;0.06148
27.09.2006;0.06148
18.10.2006;0.05635
9.11.2006;0.05635
30.11.2006;0.05635
21.12.2006;0.06148
11.01.2007;0.05635
2.02.2007;0.05635
23.02.2007;0.05635
16.03.2007;0.06148
6.04.2007;0.12149
28.04.2007;0.25615
19.05.2007;0.29713
9.06.2007;0.26732
30.06.2007;0.11783
22.07.2007;0.0966
12.08.2007;0.0666
2.09.2007;0.05635
23.09.2007;0.04611
