Region;Levant
Country;Israel
#;3
Spring Name/Station Name;Banias
Literature;Ben-Zur et al. (2025)
Lat;33.248
Lon;35.695
Elev (m);390
Recharge Area (km2);120
Start Date;29.03.1968
End Date;30.09.2024
Resolution;Monthly
Data Source;https://data.gov.il/he/datasets/water_authority/spring_discharge/26d650da-9d47-4dd5-8cbe-2f7d6955110b?query=%D7%91%D7%A0%D7%99%D7%90%D7%A1
Data License;CC BY4.0
Contact For License;Avi Burg
Spring ID;LEV_03_IL
date;discharge (l/sec)
9.02.1987;5471
10.03.1987;4828
12.04.1987;5108
17.05.1987;3434
10.06.1987;3601
6.07.1987;2279
12.08.1987;1539
14.09.1987;1023
20.10.1987;866
17.11.1987;973
7.12.1987;940
24.01.1988;3249
15.02.1988;4401
17.03.1988;6827
26.04.1988;4031
25.05.1988;3410
14.06.1988;2459
5.07.1988;1979
11.08.1988;1510
8.09.1988;1344
27.10.1988;750
16.11.1988;768
27.12.1988;3357
11.01.1989;1925
9.02.1989;1430
28.03.1989;3000
16.04.1989;2032
21.05.1989;1470
5.06.1989;1100
4.07.1989;915
7.08.1989;660
20.09.1989;448
5.10.1989;494
20.11.1989;495
19.12.1989;1085
17.01.1990;990
18.02.1990;1484
4.03.1990;2625
2.04.1990;2310
16.05.1990;1474
10.06.1990;1193
11.07.1990;1006
1.08.1990;812
2.09.1990;597
1.10.1990;518
4.11.1990;490
1.12.1990;440
1.01.1991;863
31.01.1991;1651
18.02.1991;3454
3.03.1991;2488
1.04.1991;3535
1.05.1991;2673
2.06.1991;1515
1.07.1991;1094
1.08.1991;1062
1.09.1991;640
1.10.1991;624
31.10.1991;532
29.11.1991;800
1.01.1992;3880
31.01.1992;4399
1.03.1992;4672
1.04.1992;5667
3.05.1992;6086
1.06.1992;5003
1.07.1992;4154
2.08.1992;2750
1.09.1992;2160
1.10.1992;1420
1.11.1992;1070
1.12.1992;1570
31.12.1992;4139
1.02.1993;4204
1.03.1993;4507
1.04.1993;4081
2.05.1993;3438
1.06.1993;2987
1.07.1993;2140
1.08.1993;1328
1.09.1993;1286
27.09.1993;960
1.11.1993;863
1.12.1993;605
2.01.1994;682
1.02.1994;2466
1.03.1994;3563
4.04.1994;3611
1.05.1994;2670
1.06.1994;1705
3.07.1994;1219
1.08.1994;867
1.09.1994;748
4.10.1994;687
1.11.1994;597
1.12.1994;2712
1.01.1995;3425
1.02.1995;3824
1.03.1995;4250
29.03.1995;3720
30.04.1995;3449
25.05.1995;2540
1.06.1995;2163
2.07.1995;1585
1.08.1995;1156
31.08.1995;1060
1.10.1995;845
31.10.1995;700
30.11.1995;905
25.12.1995;988
1.01.1996;901
1.02.1996;3065
29.02.1996;2850
1.04.1996;4490
1.05.1996;3970
2.06.1996;2408
1.07.1996;1762
1.08.1996;1448
1.09.1996;1100
6.10.1996;728
3.11.1996;668
1.12.1996;642
1.01.1997;1080
2.02.1997;1230
2.03.1997;2910
1.04.1997;3910
5.05.1997;3780
