Region;Dinarides
Country;Bosnia and Herzegovina
#;1
Spring Name/Station Name;Vrelo Bosne
Literature;
Lat;43.827
Lon;18.271
Elev (m);497
Recharge Area (km2);
Start Date;1.01.2007
End Date;31.12.2019
Resolution;Daily
Data Source;HIDROLOŠKI GODIŠNJAK, https://www.fhmzbih.gov.ba/latinica/HIDRO/godisnjaci.php#
Data License;Open data for scientific purposes
Contact For License;Bosnian Federal Hydrometeorology Service
Spring ID;DIN_01_BA
Date;Discharge m^3/s
20.05.2008;8.33
21.05.2008;8.42
22.05.2008;8.24
23.05.2008;7.81
24.05.2008;7.3
25.05.2008;7.05
26.05.2008;6.91
27.05.2008;6.81
28.05.2008;6.65
29.05.2008;6.5
30.05.2008;6.19
31.05.2008;5.93
1.06.2008;5.48
2.06.2008;5.1
3.06.2008;4.95
4.06.2008;4.76
5.06.2008;4.56
6.06.2008;4.27
7.06.2008;3.77
8.06.2008;3.52
9.06.2008;3.37
10.06.2008;3.2
11.06.2008;3.09
12.06.2008;3.01
13.06.2008;2.98
14.06.2008;2.89
15.06.2008;2.95
16.06.2008;2.86
17.06.2008;2.72
18.06.2008;2.77
19.06.2008;2.66
20.06.2008;2.52
21.06.2008;2.48
22.06.2008;2.43
23.06.2008;2.39
24.06.2008;2.35
25.06.2008;2.32
26.06.2008;2.27
27.06.2008;2.28
28.06.2008;4.06
29.06.2008;4.06
30.06.2008;2.69
1.07.2008;2.51
2.07.2008;2.43
3.07.2008;2.35
4.07.2008;2.3
5.07.2008;2.25
6.07.2008;2.19
7.07.2008;2.13
8.07.2008;2.11
9.07.2008;2.07
10.07.2008;2
11.07.2008;1.96
12.07.2008;1.94
13.07.2008;1.91
14.07.2008;1.89
15.07.2008;1.89
16.07.2008;1.83
17.07.2008;1.79
18.07.2008;1.8
19.07.2008;1.77
20.07.2008;1.73
21.07.2008;1.73
22.07.2008;1.78
23.07.2008;2
24.07.2008;3.32
25.07.2008;7.25
26.07.2008;5.46
27.07.2008;4.59
28.07.2008;2.66
29.07.2008;2.19
30.07.2008;1.94
31.07.2008;1.86
1.08.2008;1.83
2.08.2008;2.67
3.08.2008;2.15
4.08.2008;1.99
5.08.2008;1.92
6.08.2008;1.86
7.08.2008;1.8
8.08.2008;1.77
9.08.2008;1.74
10.08.2008;1.72
11.08.2008;1.68
12.08.2008;1.65
13.08.2008;1.62
14.08.2008;1.59
15.08.2008;1.56
16.08.2008;1.57
17.08.2008;1.56
18.08.2008;1.53
19.08.2008;1.51
20.08.2008;1.5
21.08.2008;1.49
22.08.2008;1.48
23.08.2008;1.47
24.08.2008;1.47
25.08.2008;1.45
26.08.2008;1.45
27.08.2008;1.43
28.08.2008;1.41
