Region;Zagros
Country;Iraq
#;8
Spring Name/Station Name;Sarchawi Saraw
Literature;Stevanovic (2016)
Lat;35.38
Lon;45.83
Elev (m);515
Recharge Area (km2);
Start Date;1.10.2004
End Date;30.06.2006
Resolution;Daily
Data Source;WOKAS
Data License;CC BY 4.0
Contact For License;Tunde Olarinoye
Spring ID;ZAG_08_IQ
Date;Discharge m^3/s
4.11.2005;0.615048
5.11.2005;0.610736
6.11.2005;0.607049
7.11.2005;0.606995
8.11.2005;0.607582
9.11.2005;0.60735
10.11.2005;0.60704
11.11.2005;0.607963
12.11.2005;0.607797
13.11.2005;0.601186
14.11.2005;0.590692
15.11.2005;0.581876
16.11.2005;0.579499
17.11.2005;0.580657
18.11.2005;0.58065
19.11.2005;0.580482
20.11.2005;0.580513
21.11.2005;0.580324
22.11.2005;0.580959
23.11.2005;0.580812
24.11.2005;0.576479
25.11.2005;0.573502
26.11.2005;0.574083
27.11.2005;0.570895
28.11.2005;0.566642
29.11.2005;0.566521
30.11.2005;0.567897
1.12.2005;0.566986
2.12.2005;0.562273
3.12.2005;0.560127
4.12.2005;0.560551
5.12.2005;0.5567
6.12.2005;0.552943
7.12.2005;0.553281
8.12.2005;0.55471
9.12.2005;0.552889
10.12.2005;0.547704
11.12.2005;0.548767
12.12.2005;0.553829
13.12.2005;0.554295
14.12.2005;0.553427
15.12.2005;0.553645
16.12.2005;0.553817
17.12.2005;0.553527
18.12.2005;0.55346
19.12.2005;0.555572
20.12.2005;0.562145
21.12.2005;0.571605
22.12.2005;0.574485
23.12.2005;0.573906
24.12.2005;0.578299
25.12.2005;0.581309
26.12.2005;0.580588
27.12.2005;0.580332
28.12.2005;0.580578
29.12.2005;0.580549
30.12.2005;0.58041
31.12.2005;0.580612
1.01.2006;0.580839
2.01.2006;0.579401
3.01.2006;0.58091
4.01.2006;0.589829
5.01.2006;0.596776
6.01.2006;0.617702
7.01.2006;0.686595
8.01.2006;0.787527
9.01.2006;0.873037
10.01.2006;0.890144
11.01.2006;0.915647
12.01.2006;1.00151
13.01.2006;1.03535
14.01.2006;1.06292
15.01.2006;1.17671
16.01.2006;1.2452
17.01.2006;1.24044
18.01.2006;1.25707
19.01.2006;1.29322
20.01.2006;1.32213
21.01.2006;1.33026
22.01.2006;1.3451
23.01.2006;1.39524
24.01.2006;1.47267
25.01.2006;1.53728
26.01.2006;1.55593
27.01.2006;1.56881
28.01.2006;1.58044
29.01.2006;1.59334
30.01.2006;1.80675
31.01.2006;2.15973
1.02.2006;2.24167
2.02.2006;2.183
3.02.2006;2.20181
4.02.2006;2.21601
5.02.2006;2.21945
6.02.2006;2.2715
7.02.2006;2.41181
8.02.2006;2.53554
9.02.2006;2.56881
10.02.2006;2.53929
11.02.2006;2.56755
12.02.2006;2.6632
13.02.2006;2.75003
14.02.2006;2.76974
15.02.2006;2.76208
16.02.2006;2.77972
17.02.2006;2.83847
18.02.2006;2.89192
19.02.2006;2.81559
20.02.2006;2.79058
21.02.2006;2.75804
22.02.2006;2.70834
23.02.2006;2.6695
24.02.2006;2.65068
25.02.2006;2.64021
26.02.2006;2.60777
27.02.2006;2.56072
28.02.2006;2.52376
1.03.2006;2.50405
2.03.2006;2.49291
3.03.2006;2.47426
4.03.2006;2.44668
5.03.2006;2.41146
6.03.2006;2.37045
7.03.2006;2.33782
8.03.2006;2.31433
9.03.2006;2.27202
10.03.2006;2.21677
11.03.2006;2.16855
12.03.2006;2.12879
13.03.2006;2.09684
14.03.2006;2.07301
15.03.2006;2.05752
16.03.2006;2.03523
17.03.2006;1.9821
18.03.2006;1.9307
19.03.2006;1.90691
20.03.2006;1.88974
21.03.2006;1.87317
22.03.2006;1.86018
23.03.2006;1.84891
24.03.2006;1.8419
25.03.2006;1.84226
26.03.2006;1.83967
27.03.2006;1.82992
28.03.2006;1.81952
29.03.2006;1.81439
30.03.2006;1.81498
31.03.2006;1.81437
1.04.2006;1.81588
2.04.2006;1.82437
3.04.2006;1.83418
4.04.2006;1.84213
5.04.2006;1.84762
6.04.2006;1.84805
7.04.2006;1.8428
8.04.2006;1.83426
9.04.2006;1.82627
10.04.2006;1.81817
11.04.2006;1.8028
12.04.2006;1.78561
13.04.2006;1.77598
14.04.2006;1.77598
15.04.2006;1.78179
16.04.2006;1.78692
17.04.2006;1.78843
18.04.2006;1.78815
19.04.2006;1.79118
20.04.2006;1.79706
21.04.2006;1.80158
22.04.2006;1.799
23.04.2006;1.79444
24.04.2006;1.79439
25.04.2006;1.79575
26.04.2006;1.79482
27.04.2006;1.79235
28.04.2006;1.80099
29.04.2006;1.79793
30.04.2006;1.75618
